My statement on my mother's passing and my COVID-19 positivity. https://t.co/q2czr3TiEQ,2020-11-26 02:13:07,Twitter Web App,87,1140,covid; 
Check out my #Coronavirus Constituent Resources Guide for info about:  ☑️Unemployment insurance  ☑️Direct cash payments ☑️Homeowner and renter information ☑️Small business programs ☑️Student borrower resources and more  👇👇 https://t.co/gc9MZB3R2C  https://t.co/zn1KmSeQjW,2020-05-02 00:07:31,Twitter for iPhone,3,9,corona; 
An estimated 3.5 million children of health care workers need access to childcare &amp; in most states child care providers are deemed essential workers.  I signed onto @RepHaleyStevens letter to @stevenmnuchin1 to ensure all child care providers have access to #COVID19 relief. https://t.co/u4V0o2kmR6,2020-05-01 22:00:00,TweetDeck,4,10,covid; 
May is #MentalHealthMonth. Especially during #COVID19 caring for your mind can be just as important as caring for your body. Take care of yourself and know that there are resources out there to help you when times get tough.   resources below👇 https://t.co/PGnkXyLhBu,2020-05-01 21:02:14,Twitter for iPhone,2,9,covid; 
This week our bipartisan bill to protect student veterans’ GI Bill benefits during #COVID19 was signed into law.  This will ensure 1000s of veterans at schools like @unlv won’t lose their education housing &amp; financial benefits because of this pandemic.  https://t.co/6fvGx8W2Kg,2020-05-01 19:57:31,TweetDeck,1,6,covid; 
Check out my new Coronavirus Crisis Constituent Resources Guide at https://t.co/vfkM7M9v4y https://t.co/zn1KmSeQjW,2020-04-30 17:32:48,Twitter for iPhone,6,8,corona; 
I’m on @8newsnow with @RepHorsford and @RepDinaTitus for a virtual town hall. Tune in to hear about what we’re doing to help Nevadans during #COVID19 and what resources are available.  https://t.co/S9eLfuVgnM,2020-04-30 01:45:58,Twitter Web App,3,11,covid; 
REMINDER I’ll be on @8newsnow with @RepHorsford and @RepDinaTitus at 6:30pm PT tonight for a virtual town hall. Tune in to ask questions and hear about what we’re doing to help Nevadans during #COVID19. https://t.co/Nn9gJgkXum,2020-04-29 21:31:32,Twitter for iPhone,3,3,covid; 
Great news for student veterans👏👏  @POTUS signed our bipartisan bill the Student Veteran Coronavirus Response Act into law. This law will help protect key student veteran benefits during #COVID19.   Like I've been saying we'll make it through this by working together. https://t.co/HwtFjuty2D,2020-04-29 20:10:08,Twitter for iPhone,7,8,covid; corona; 
🚨Town Hall TODAY🚨 I’ll be hosting a Facebook Live town hall with @UrbanChamber at 10:00am PT on my Facebook page! We’ll be talking about financial security unemployment and the effects of #COVID19 on Nevada’s working families. See you then! https://t.co/ZzTuGmgcwl,2020-04-29 16:33:49,Twitter for iPhone,2,7,covid; 
Be vigilant of scammers calling you or your family during #COVID19.  Send reports of phishing or scamming attempts to phishing@irs.gov https://t.co/KJ2gror1E8,2020-04-29 00:00:00,TweetDeck,4,4,covid; 
Today we held the first virtual hearing with @VetAffairsDems  discussing the impact of #COVID19 on homeless veterans.  This pandemic makes access to key services like housing and health care even harder for our homeless population. We need to work that much harder to help them. https://t.co/WD6w0lbphG,2020-04-28 23:43:52,TweetDeck,2,7,covid; 
We often take it for granted but not every American has easy access to the internet especially during a public health crisis.  Today I sent a letter led by @SenAmyKlobuchar to @FCC Chairman @AjitPaiFCC urging him to help families in need access broadband during #COVID19. https://t.co/KdsggS6OkP,2020-04-28 21:00:00,TweetDeck,1,4,covid; 
Take a moment on #WorkersMemorialDay to honor workers who have fallen ill or passed away on the job. We owe them so much.   Let’s keep looking out for the health care workers first responders and essential workers on the front lines of the fight against #COVID19. https://t.co/NF2dzjRxkC,2020-04-28 20:00:00,TweetDeck,4,2,covid; 
We should be wearing masks in public to slow the spread of #COVID19. Make sure you’re wearing it the right way and that you’re washing any cloth face mask after wearing it in public! https://t.co/PLAHHrFTnQ,2020-04-28 19:00:00,TweetDeck,5,16,covid; 
#ICYMI: Tomorrow I’m hosting a #COVID19 Facebook Live town hall with @UrbanChamber. Join us on my FB page to ask questions and get up-to-date information on the ongoing federal response and other resources. Details and RSVP 👇 https://t.co/HYr4qHstZ0,2020-04-28 18:30:00,TweetDeck,2,4,covid; 
Join me @RepDinaTitus and @RepHorsford tomorrow for a Congressional Town Hall with @8NewsNow. We’re going to be live at 6:30 pm to answer your questions and talk about #COVID19 in southern Nevada. https://t.co/Cg8ECRa5RR,2020-04-28 17:24:54,TweetDeck,5,12,covid; 
Learn more here about @IRSnews’ new employee retention credit for businesses affected by #COVID19⬇️ https://t.co/6Y3B4ayi7f,2020-04-28 00:26:08,Twitter for iPhone,1,0,covid; 
Our bipartisan bill the Equity in Student Loan Relief Act makes sure no student borrowers have to worry about burdensome monthly loan payments during #COVID19. https://t.co/ELGsflOuL8,2020-04-27 22:19:47,Twitter for iPhone,2,5,covid; 
This Wednesday April 29 @UrbanChamber and I are co-hosting a #COVID19 Facebook Live Town Hall for #NV03. Join us to ask questions and get up-to-date information on resources for independent contractors and gig workers. Details and RSVP here👇  https://t.co/ZzTuGmgcwl,2020-04-27 21:37:30,Twitter for iPhone,2,3,covid; 
Check out my new Coronavirus Crisis Constituent Resources Guide for details on unemployment insurance direct cash payments homeowner and renter info small business programs paid family leave student borrowers and more👇  https://t.co/7srB49ajzY https://t.co/KN8Owankdz,2020-04-27 21:09:29,TweetDeck,2,9,corona; 
🚨 ATTN Small Businesses🚨 @SBAgov is again accepting #PaycheckProtectionProgram applications. Follow the link below and as always feel free to contact my office or check out my #COVID19 resource guide at https://t.co/vfkM7M9v4y https://t.co/fh9utqeWfy,2020-04-27 19:38:18,Twitter for iPhone,1,1,covid; 
This is why we need to define “impacted areas” not by the number of #COVID19 cases but by economic devastation such as unemployment. Nevada needs to be at the top of the list in the next package. That’s what I’m fighting for. https://t.co/nMATHHp240,2020-04-27 13:43:25,Twitter for iPhone,13,30,covid; 
The #COVID19 pandemic hasn’t been easy but know that we’ll get through this as a community and as a country. Visit https://t.co/vfkM7M9v4y for #Coronavirus resources.,2020-04-26 20:11:00,TweetDeck,4,7,covid; corona; 
The #COVID19 pandemic has disrupted so many aspects of our lives from our kids’ schooling to our livelihoods. Visit https://t.co/vfkM7Mr5W6 to find resources in our community that could help. https://t.co/iNO00PCrhY,2020-04-25 22:02:00,TweetDeck,4,2,covid; 
This week I helped pass the fourth #COVID19 relief package to help our small business owners and workers hospitals and testing. But we’re not done. https://t.co/WG1tMH5RUd,2020-04-25 20:05:00,TweetDeck,4,13,covid; 
#ICYMI: Our bipartisan Back to Work recovery plan is what the nation needs to combat #COVID19 right now and in the months to come ensuring that no one is left behind. Read more here⬇️  https://t.co/VEzyBhDPyW,2020-04-25 19:28:00,TweetDeck,2,2,covid; 
The House just passed essential #COVID19 relief for our small businesses hospitals and testing. Although this funding was necessary we still have much work to do. Read more here: https://t.co/5JE9w7ilWf https://t.co/n70XnNRMjy,2020-04-23 22:58:09,Twitter Web App,4,8,covid; 
It’s not the business executives we’re worried about. It’s the thousands of grocers bartenders waitresses line cooks and other hard-working Nevadans being left out to dry without #coronavirus small business relief. @AlexLimonNews   https://t.co/weR9zJJJOL,2020-04-23 18:14:20,Twitter for iPhone,7,16,corona; 
Today I’m voting on the fourth #COVID19 relief package to secure some important funding to help Americans but there’s a whole lot more work left to do. #CoronavirusRelief https://t.co/cYKfi2IkFa,2020-04-23 17:19:13,Twitter for iPhone,14,77,covid; corona; 
The Paycheck Protection Program was enacted to help ALL small businesses.  But the administration's guidelines have left countless Nevadans and Americans without relief.  Let’s make sure no Americans are left behind during #COVID19. @HouseSmallBiz https://t.co/44XAaYo48E,2020-04-23 16:43:27,Twitter for iPhone,6,21,covid; 
Monthly student loan payments should be suspended during #COVID19.  The CARES Act took a big step toward that goal but borrowers under the discontinued FFEL program are still required to make their monthly payments.   Our bipartisan bill fixes that. https://t.co/uGlwccixkb,2020-04-22 18:21:52,TweetDeck,7,16,covid; 
The Senate just passed our bill the Student Veteran #Coronavirus Response Act. This bill helps veterans make ends meet during #COVID19 and secures:   ✅expanded housing benefits ✅work study payments ✅GI Bill eligibility extension https://t.co/YBexcw2gu4,2020-04-22 00:32:52,Twitter for iPhone,4,16,covid; corona; 
I know many expecting families are experiencing anxiety &amp; fear about pregnancy and delivering their babies during #COVID19. For up-to-date information on pregnancy and #COVID19 visit @ACOG's website: https://t.co/zAxp5ayiNt https://t.co/TGXcmNGolq,2020-04-21 18:47:28,TweetDeck,1,1,covid; 
Bottom line: we can’t begin to reopen our economy and country without sufficient access to mass testing.   Funding for mass testing needs to be a top priority in the next #COVID19 relief package.  https://t.co/2EbqOq4qXO,2020-04-21 18:05:18,TweetDeck,5,15,covid; 
After @RepJanSchakowsky &amp; I sent a letter last week I’m glad to hear that @CMSgov announced that nursing homes must now report to patients families and the CDC when there are #COVID19 cases in facilities.  It’s a good start but we need to make sure this data is made public. https://t.co/eEwrBKUxwu,2020-04-20 23:52:48,Twitter for iPhone,18,42,covid; 
.@VetAffairsDems has put together a resource guide to help veterans and military families navigate #COVID19. Read more here⬇️ https://t.co/mefwf0PLRb,2020-04-20 23:51:19,Twitter for iPhone,4,1,covid; 
This is not the time to leave any American behind. Our bipartisan Back to Work recovery plan is what the nation needs to combat #COVID19 right now and in the months to come. Read more here⬇️ https://t.co/Ku5s85OKLB,2020-04-20 21:11:26,TweetDeck,3,3,covid; 
Today @RepBeatty and I sent a letter to House leadership asking for any next #COVID19 relief package to clarify eligibility for credit unions to offer Paycheck Protection Program lending. This fix will get more aid to small businesses in critical need of relief. https://t.co/GAllh4Giru,2020-04-20 20:04:52,TweetDeck,4,6,covid; 
#ICYMI: This week I introduced a bill to increase federal aid for state Medicaid programs and make sure Americans hurt by #COVID19 can access care quickly. Let me tell you a little more about how this bill gets that done⬇️  https://t.co/ZV4O2y7hpN,2020-04-19 18:30:26,Twitter for iPhone,9,30,covid; 
Take a look at my website for up-to-date #COVID19 news and information about the resources and relief available to #NV03 residents:  Head to https://t.co/oZP6oaQ9LA https://t.co/gtBvCYvxx8,2020-04-18 19:05:40,Twitter for iPhone,1,3,covid; 
Today I introduced a bill to increase federal aid for state Medicaid programs amid #COVID19.  This bill enacts automatic triggers that increase Federal Medical Assistance Percentage (FMAP) as unemployment conditions worsen on a state-by-state basis.  Let me explain: https://t.co/ZV4O2y7hpN,2020-04-17 19:20:15,Twitter for iPhone,5,9,covid; 
🚨ATTN Nevada🚨  Questions about taxes during COVID19? Here are two FREE Webinars today and tomorrow on tax relief during #COVID19:   1. @UNLV: https://t.co/TzNMootXtN  2. @ABAesq: https://t.co/c9OHEvGK96,2020-04-16 18:45:00,TweetDeck,1,4,covid; 
Nevada schools are receiving $200 million in #COVID19 federal assistance through the #CARESAct.  This is a great start but being that @ClarkCountySch is the 5th largest school district in the country we need to keep doing all we can support our students teachers and schools.,2020-04-15 21:30:00,TweetDeck,0,9,covid; 
Great talking with @UNLVTheCenter about supporting the TRIO Training Institute and providing direct services and assistance to Nevada students during #COVID19.  I’m glad we’ve been able to get federal support to our higher ed system but we’ve got more work to do. https://t.co/ZHsHq2D8Nc,2020-04-15 19:50:00,TweetDeck,3,2,covid; 
We know that the effects of #coronavirus are hitting Nevada families workers and businesses hard. It’s up to us in government to not just provide economic relief but make sure every American knows how to access that relief. Thanks to everyone who called in to my #teletownhall. https://t.co/oOCNxDuCjq,2020-04-15 19:16:40,TweetDeck,4,10,corona; 
Things that help combat #COVID19:  1. washing your hands 2. social distancing  Things that don't help:  1. Racism 2. Xenophobia  #NoAAPIHate https://t.co/Bq7Rlb8R86,2020-04-15 14:20:31,TweetDeck,58,213,covid; 
Thanks so much to @DETRJobConnect @UNLVLaw Prof. Dr. Lipman @IRSnews Liaison Anabel Marquez &amp; @SBA_Nevada Dir. Joseph Amato for taking part in my 3rd #COVID19 tele-town hall and to all of my constituents who called in to listen and ask questions.  https://t.co/lNsmTzK0rS,2020-04-15 02:29:01,Twitter for iPhone,2,4,covid; 
My #COVID19 telephone town hall is just getting started! Join us to ask a question and hear up-to-date information from Nevada officials and financial experts. https://t.co/z98GrY1HtQ,2020-04-15 00:38:53,Twitter for iPhone,4,6,covid; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✅Health resources ✅Financial assistance  ✅Food services ✅Small business resources  ✅Consumer protection etc  https://t.co/XT5tUNiQab https://t.co/mm1kCL7R64,2020-04-15 00:00:00,TweetDeck,4,3,covid; 
My #COVID19 telephone town hall is at 5:30pm today! I’m going to be joined by experts from @DETRJobConnect @UNLVLaw @IRSnews &amp; @SBA_Nevada to talk about financial assistance and the economy during the #coronavirus pandemic. Hope you can join us! https://t.co/rEIi4B5qnE,2020-04-14 23:42:20,Twitter for iPhone,5,9,covid; corona; 
Evidence of #COVID19’s spread from pre-symptomatic and asymptomatic people is why it’s so important to 1️⃣ continue to practice social distancing and 2️⃣ wear a mask in public. #StayHomeForNevada https://t.co/SfAS9Xb1Yi,2020-04-14 21:00:00,TweetDeck,5,6,covid; 
🚨ATTN Nevadans🚨 The Nevada health care marketplace Exceptional Circumstance Special Enrollment period has been extended to May 15 amid the #COVID19 pandemic. Go to https://t.co/2g6MOupwOP to learn more. https://t.co/XcLlAYYvCc,2020-04-14 19:15:33,TweetDeck,7,8,covid; 
#ICYMI: I spoke with @KNPRnews about our bipartisan work in Congress to get our country through the pandemic and my efforts to make sure Nevada gets the resources it needs from future #COVID19 federal relief funding.  https://t.co/rWhemP6dER,2020-04-14 01:19:22,Twitter for iPhone,3,4,covid; 
#ICYMI: I sent a letter to House leadership to support funding for community health centers in the next #COVID19 relief package. CHC workers are on the front lines of this pandemic and they need support to protect our communities. https://t.co/7HF0lVBiqz,2020-04-13 22:54:15,Twitter for iPhone,1,6,covid; 
TOMORROW I’m hosting my third #COVID19 telephone town hall.  This tele-town hall will focus on financial security. I’ll be joined by financial experts to answer questions and provide up-to-date information.   See details here⬇️ https://t.co/CYtDdzo5TT,2020-04-13 22:03:35,Twitter for iPhone,3,3,covid; 
🚨ATTN NV03🚨 I’m hosting my third #COVID19 telephone town hall on Tuesday Apr. 14th.   This tele-town hall will focus on financial security. I’ll be joined by financial experts to answer questions and provide up to date information.   See details here⬇️ https://t.co/CYtDdzo5TT,2020-04-12 18:51:59,Twitter for iPhone,1,4,covid; 
I’m hosting my third #COVID19 telephone town hall this Tuesday April 14th with Nevada officials and financial experts to talk about economic effects and financial assistance during the #coronavirus pandemic. RSVP here⬇️ https://t.co/sRLzyGPAlK,2020-04-11 19:00:00,TweetDeck,4,5,covid; corona; 
.@SBAgov needs to update the #COVID19 Paycheck Protection Program guidance immediately to include gaming small businesses &amp; workers. https://t.co/hlMMqCMaMJ,2020-04-10 21:00:00,TweetDeck,7,8,covid; 
From Henderson to Boulder City #NV03 communities need support now to combat #COVID19. I helped introduce the #Coronavirus Community Relief Act to provide $250 billion in direct assistance for our local communities. https://t.co/ajzB51W3H2,2020-04-10 20:00:00,TweetDeck,3,12,covid; corona; 
I with 123 members of Congress sent a letter to House leadership to support funding for community health centers in the next #COVID19 relief package. CHC workers are on the front lines of this pandemic and they need support to protect our communities. https://t.co/8X1KUYBMfY https://t.co/gsK6Ryq835,2020-04-10 19:00:00,TweetDeck,5,21,covid; 
The #COVID19 pandemic has shown us how critical telehealth is to Americans’ health care. I sent this letter to @SecGeneScalia urging him for guidance on telehealth coverage for group plans covered by ERISA - plans that millions of workers and their families depend on. https://t.co/b4tnvYpDyI,2020-04-10 17:12:59,Twitter for iPhone,3,13,covid; 
From Henderson to Boulder City #NV03 communities need support now to combat #COVID19. I helped introduce the #Coronavirus Community Relief Act to provide $250 billion in direct assistance for our local communities.  https://t.co/rUks1dUGiy,2020-04-09 21:24:13,Twitter for iPhone,4,12,covid; corona; 
SNAP is one of our country’s most vital social safety nets and it will continue to play a critical role for working families during the #COVID19 health crisis. https://t.co/1PxzUU23Gn,2020-04-09 20:30:00,TweetDeck,1,5,covid; 
🚨ATTN NV03🚨 I’m hosting my third #COVID19 telephone town hall on Tuesday Apr. 14th.   This tele-town hall will focus on financial security. I’ll be joined by financial experts to answer questions and provide up to date information.   See details here⬇️ https://t.co/CYtDdzo5TT,2020-04-09 19:25:38,Twitter for iPhone,4,5,covid; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✔️Health resources ✔️Financial assistance  ✔️Food services ✔️Small business resources  ✔️Consumer protection etc  https://t.co/XT5tUN1eLB https://t.co/B7H6XeNCVB,2020-04-09 02:00:00,TweetDeck,1,1,covid; 
🚨FB LIVE TODAY🚨From 3 - 4 pm I’ll be hosting a #COVID19 Facebook Live with @BoulderCityNev Mayor Kiernan McManus.   We’ll be answering questions on the pandemic’s impact on southern NV &amp; resources available to all Nevadans. RSVP &amp; details here⬇️ https://t.co/DbRieokhSA,2020-04-08 20:08:38,TweetDeck,2,2,covid; 
.@SBAgov &amp; @stevenmnuchin1's #COVID19 Paycheck Protection Program--which helps small businesses keep workers on payroll--failed to include gaming small businesses.  I told them they need to update their guidance ASAP to help our small businesses &amp; workers. https://t.co/6B85DScUyW,2020-04-08 19:28:08,TweetDeck,4,8,covid; 
Here is my and @VetAffairsDems Chair @RepMarkTakano's statement on @DeptVetAffairs Electronic Health Record Project Delay due to #COVID19: https://t.co/D2OUJy244H,2020-04-08 19:05:52,TweetDeck,5,1,covid; 
I sent a letter to @SBAgov &amp; @stevenmnuchin1 because the newly enacted #COVID19 Paycheck Protection Program guidance unfairly leaves out small businesses that get revenue from legal gaming.  They need to update the program immediately to include gaming small businesses &amp; workers. https://t.co/bWyUUHE90K,2020-04-08 14:19:00,TweetDeck,5,7,covid; 
🚨HEADS UP🚨Tomorrow at 3 pm PST I’ll be hosting a #COVID19 Facebook Live event with @BoulderCityNev Mayor Kiernan McManus. We’ll be answering questions on the pandemic’s impact on southern Nevada and resources available to all Nevadans. More info👇 https://t.co/e85pgdwvr8,2020-04-07 21:42:12,Twitter for iPhone,7,7,covid; 
A huge shout out to the hard-working health care workers at @SHHospitalLV. #COVID19 is an unprecedented crisis and you’re all rising up to meet the challenge bravely and competently.  Thank you from the bottom of our hearts. #VegasGoesBlue #TeamSouthernHills https://t.co/FPkBNK4rKY,2020-04-07 19:28:09,Twitter for iPhone,7,61,covid; 
Thank you Rebecca Garcia &amp; @nevadapta &amp; all the CCSD parents who joined our #COVID19 education-focused FB Live today!  As drastically as #coronavirus has changed our day-to-day life we need to make sure our students are getting the resources they need. https://t.co/YoCURqvw1f,2020-04-07 01:43:47,Twitter for iPhone,2,7,covid; corona; 
There’s a lot of new information about how and when to apply for #COVID19-related unemployment assistance. Follow this guide from @WaysMeansCmte and as always contact my office if you have questions. Go to https://t.co/XT5tUN1eLB or call my office at 702-963-9336 https://t.co/SmjHwhtdup,2020-04-07 00:30:00,TweetDeck,3,5,covid; 
🚨TUNE IN NOW🚨 to my #COVID19 Facebook Live with @nevadapta and CCSD Parents to talk about education and school resources during the #coronavirus pandemic⬇️⬇️ https://t.co/YoCURqvw1f,2020-04-06 23:21:30,Twitter for iPhone,2,0,covid; corona; 
📢Student loan borrowers📢  Are you wondering: What’s happening to my federal loans right now? Do I need to apply for loan suspension? Is interest accruing on my loans?  From the @CFPB here’s what you need to know about your student loans during #COVID19: https://t.co/Un2cIZoQDy,2020-04-06 21:15:00,TweetDeck,1,2,covid; 
It’s so important to look after your mental health especially during a public health crisis like #COVID19. And remember there are people and groups available to help See thread⬇️ https://t.co/PGnkXytGJW,2020-04-06 20:13:31,Twitter for iPhone,7,34,covid; 
#ICYMI: The tax filing deadline has been extended to July 15 2020. @IRSnews just went live with their website with #COVID19 FAQs and resources that you can check out here: https://t.co/0Y6XEiNWVn https://t.co/7guRSBRexm,2020-04-05 20:00:00,TweetDeck,3,3,covid; 
If you believe you’ve witnessed or have been the victim of price gouging related to the #coronavirus pandemic call the @NevadaAG’s office at 702-486-3132.  What’s clear: NO ONE should engage in this type of behavior. It hurts us all.,2020-04-05 18:11:00,TweetDeck,30,61,corona; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✅Health resources ✅Financial assistance  ✅Food services ✅Small business resources  ✅Consumer protection etc  Head to https://t.co/oZP6oaQ9LA,2020-04-05 00:02:00,TweetDeck,2,3,covid; 
Good information on the direct cash assistance that passed as part of the #CARESAct #COVID19 relief package. https://t.co/qeO9JEn1Sg,2020-04-04 19:02:00,TweetDeck,5,4,covid; 
Are you a CCSD parent with questions on the #COVID19 pandemic’s impact on your child’s schooling? Join me and Rebecca Garcia of @NevadaPTA and CCSD Parents on Monday 4/6 at 4 pm for a Facebook Live event. RSVP here ⬇️⬇️  https://t.co/oy3v4XHDeD,2020-04-04 17:28:00,TweetDeck,2,3,covid; 
If you’re a Nevadan and you’ve lost your employer-based health insurance from #COVID19 related layoffs Nevada’s special enrollment period for health coverage is going on until April 15th. Head to https://t.co/ecEqTIok0G  https://t.co/xL4OMQJONw,2020-04-03 23:37:00,TweetDeck,5,2,covid; 
🚨HEADS UP🚨 On Monday 4/6 at 4 pm I’ll be hosting a #COVID19 Facebook Live event with Rebecca Garcia of @NevadaPTA and CCSD Parents. We’ll be answering questions on the pandemic’s impact on CCSD students and families. More info here ⬇️⬇️ https://t.co/oy3v4XZeDd,2020-04-03 22:07:59,Twitter Web App,2,4,covid; 
Thank you to our child care providers during #COVID19 especially those caring for the kids of our front line health care workers. https://t.co/38YAfhDpBX,2020-04-03 00:00:00,TweetDeck,4,5,covid; 
.@RepGrothman and I introduced a bipartisan bill to support and strengthen the Senior Community Service Employment Program (SCSEP) amid #COVID19. https://t.co/AgS1C7TI3Y,2020-04-02 22:30:00,TweetDeck,4,5,covid; 
The #CARESAct allocated $350 billion to help small businesses during #COVID19. See @USChamber’s step-by-step guide below to help answer:  1. Am I eligible? 2. What will lenders be looking for? 3. How much can I borrow? 4. Will this loan be forgiven? https://t.co/fAF1fLqva8,2020-04-02 21:30:00,TweetDeck,3,1,covid; 
🚨PASSED🚨 My bipartisan bill with @RepMarkTakano &amp; @DrPhilRoe the Student Veterans Coronavirus Response Act passed the House today. This bill helps veterans secure:  ✅expanded housing benefits ✅work study payments ✅GI Bill eligibility extension https://t.co/231RwLrmtK,2020-04-01 22:43:40,Twitter for iPhone,1,3,corona; 
That sense of collective duty has rubbed off on Congress as we’ve passed three bipartisan #COVIDー19 relief packages this month including the CARES Act which provides $2 trillion in relief for our health care workers working families and small businesses.,2020-04-01 21:29:07,Twitter for iPhone,0,1,covid; 
I just released my 2020 first quarter report⬇️  While the #coronavirus pandemic has stretched our country to its brink I’m more encouraged than ever by our ability as a state and a nation to rally together. https://t.co/VpSYECjmFr,2020-04-01 21:29:06,Twitter for iPhone,2,3,corona; 
REMINDER TO NEVADA SHOPPERS:  Please do not overbuy or hoard when you buy groceries this week.   The first of the month is when SNAP benefits are allocated to over 400000 Nevadans. This is when recipients can buy groceries and need stocked shelves. #COVID19,2020-04-01 20:20:00,TweetDeck,13,27,covid; 
Esta crisis global nos ha demostrado lo que ya sabíamos: Somos nada sin nuestros trabajadores.   Gracias a los trabajadores de nuestro país—especialmente los que están en las primeras líneas de la crisis de #coronavirus. #DíaDeCésarChávez,2020-03-31 20:36:55,Twitter for iPhone,1,2,corona; 
This global crisis has shown us what we already knew: We are nothing without our workers.  Thank you to our nation’s workers—especially those on the front lines of the #COVID19 crisis. #CesarChavezDay,2020-03-31 20:36:55,Twitter for iPhone,3,26,covid; 
Make sure you are tending to your mental health during #COVID19. Here are some self-care strategies from @afspnational. Just setting up little guidelines for yourself can make a world of difference. https://t.co/SorzQWeW7P,2020-03-31 18:35:37,Twitter for iPhone,2,4,covid; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✅Health resources ✅Financial assistance  ✅Food services ✅Small business resources  ✅Consumer protection etc  https://t.co/XT5tUN1eLB https://t.co/eyWNXqeoaG,2020-03-31 00:00:00,TweetDeck,2,3,covid; 
Here are some frequently asked questions about the #CARESAct Direct Cash Assistance Rebate in English and Spanish. #COVID19 https://t.co/F8JKQcAg41,2020-03-30 22:00:00,TweetDeck,2,5,covid; 
Masks. Face shields. Ventilators.   These are the tools our frontline health care workers need right now and that’s what the $2 trillion #COVID19 relief package provides.   We need to get it to them.,2020-03-29 22:28:37,Twitter for iPhone,7,28,covid; 
If you have any questions about #COVID19 take a look at my website’s #COVID19 resource page for help and also for contact information for important services like financial assistance food bank locations health tips and more:  https://t.co/918IqA3G9x https://t.co/2LT4fayivj,2020-03-29 22:26:22,Twitter for iPhone,1,4,covid; 
The #CARESAct makes sure that self-employed workers contractors and gig economy workers affected by #COVID19 can receive unemployment benefits.  Head to https://t.co/ldj4I110Z3 to file &amp; feel free to contact my office if you need assistance or have any questions: 702-963-9336,2020-03-29 19:43:56,Twitter for iPhone,3,8,covid; 
If you believe you’ve witnessed or have been the victim of price gouging related to the #coronavirus pandemic call the @NevadaAG’s office at 702-486-3132.  What’s clear: NO ONE should engage in this type of behavior. It hurts us all.,2020-03-29 17:53:01,Twitter for iPhone,8,17,corona; 
In the coming months we need to support our students and teachers while they’re not in the classroom.   The #CARESAct provides $30.75 billion in grants to help our local school systems and universities get through #COVID19.,2020-03-28 22:10:40,Twitter for iPhone,2,24,covid; 
The #CARESAct provides the #COVID19 relief our small businesses need:  -$350 billion in grants and forgivable loans -$10 billion for @SBAgov emergency loans for small businesses -$17 billion for @SBAgov to cover 6 months of payments for small businesses with existing SBA loans,2020-03-28 19:22:56,Twitter for iPhone,3,7,covid; 
For COVID-19 resources and information visit my website at https://t.co/oZP6oaQ9LA.,2020-03-28 01:15:25,Twitter Web App,1,4,covid; 
Thank you @SEIU1107 for hosting me on Facebook Live this evening and for the chance to give an update on Congress’s response to #COVID19.  Didn’t get a chance to tune in? No worries watch it here ⬇️⬇️ https://t.co/TpTG2UO1Xh,2020-03-28 01:15:24,Twitter Web App,5,6,covid; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✅Health resources ✅Financial assistance  ✅Food services ✅Small business resources  ✅Consumer protection etc  https://t.co/XT5tUNiQab https://t.co/4FRJiEpV30,2020-03-27 23:00:00,TweetDeck,3,3,covid; 
Our country is facing an emergency unlike any we’ve seen in recent memory. The $2 trillion #CARES Act relief package will get supplies and resources to our health care workers get assistance to working families and help out our small businesses. #COVID19 https://t.co/U3MLJ29M6g,2020-03-27 20:50:00,TweetDeck,1,7,covid; 
Relief and aid to combat #COVID19 is incredibly important but remember that every American plays a role in this fight.   Practice social distancing &amp; good hygiene and look out for each other. The quicker we #flattenthecurve the better. https://t.co/9Nv0hNdtUw,2020-03-27 19:11:03,Twitter for iPhone,7,13,covid; 
I’m proud to vote for the #CARESAct which will:  ✅fortify our health care system &amp; get resources to our front line health care workers combating #COVID19 ✅expand assistance for working families ✅expand assistance for small businesses  #CARESActStatement https://t.co/307rTOeY25,2020-03-27 18:07:20,Twitter for iPhone,5,33,covid; 
I just voted for the #CARESAct to get our front line health care workers working families and small businesses the help they need during the #COVID19 pandemic.   Together we’ll make it through this.,2020-03-27 17:42:53,TweetDeck,4,37,covid; 
What’s in the third #COVID19 relief package the #CARESAct:   $150 billion for hospitals medical supplies PPE for health care workers -New construction to house patients -workforce training and hiring to meet shortage -testing ventilators beds,2020-03-27 16:47:02,Twitter for iPhone,5,17,covid; 
While I’m waiting to vote for the #CARESAct in DC I’m on a conference call with @lvchamber small businesses and banks doing my part to get clear information out to our small businesses. #COVID19 https://t.co/MqHSuvWlv5,2020-03-27 16:10:35,Twitter for iPhone,14,115,covid; 
In the final Senate #COVID19 relief package we made sure unemployment benefits are increased by $600/week so workers who are laid off will still receive what amounts to their full salary on average for four months.,2020-03-27 00:00:00,TweetDeck,6,41,covid; 
Along with many of my House &amp; Senate colleagues I fought to make sure that businesses that do the right thing and keep employees on payroll get some relief.  House &amp; Senate Democrats secured a tax credit for employers who keep workers on payroll throughout the #COVID19 outbreak.,2020-03-26 22:40:00,TweetDeck,2,11,covid; 
